Term,System,Code,Display,Confidence,Match Type
"Diabetes mellitus",snomed,73211009,"Diabetes mellitus",0.950,api
"Diabetes mellitus",snomed,49817004,"Neonatal diabetes mellitus",0.950,api
"Diabetes mellitus",snomed,444913002,"Diabetes mellitus service",0.950,api
"Diabetes mellitus",snomed,11687002,"Gestational diabetes mellitus",0.950,api
"Diabetes mellitus",snomed,315216001,"Diabetes mellitus excluded",0.950,api
"Diabetes mellitus",loinc,Diabetes mellitus,"Diabetes mellitus",0.950,api
"Diabetes mellitus",loinc,Diabetes Mellitus (DM),"Diabetes Mellitus (DM)",0.950,api
"Diabetes mellitus",loinc,4-Deoxythreonate SerPl-sCnc,"4-Deoxythreonate SerPl-sCnc",0.950,api
"Diabetes mellitus",loinc,4-Deoxythreonate/Creat Ur-sRto,"4-Deoxythreonate/Creat Ur-sRto",0.950,api
"Diabetes mellitus",loinc,IDDM Patient Ql,"IDDM Patient Ql",0.950,api
"Hypertension",snomed,38341003,"Hypertensive disorder",0.950,api
"Hypertension",snomed,762463000,"Diastolic hypertension and systolic hypertension",0.950,api
"Hypertension",snomed,39155009,"Hypertension education",0.950,api
"Hypertension",snomed,48146000,"Diastolic hypertension",0.950,api
"Hypertension",snomed,5501000119106,"Postoperative hypertension",0.950,api
"Hypertension",loinc,Hypertension,"Hypertension",0.950,api
"Hypertension",loinc,Hypertension,"Hypertension",0.950,api
"Hypertension",loinc,Pulmonary hypertension Reported,"Pulmonary hypertension Reported",0.950,api
"Hypertension",loinc,Pulmonary hypertension class,"Pulmonary hypertension class",0.950,api
"Hypertension",loinc,Deprecated VA C&P exam hypertension,"Deprecated VA C&P exam hypertension",0.950,api
"Asthma",snomed,195967001,"Asthma",0.950,api
"Asthma",snomed,370218001,"Mild asthma",0.950,api
"Asthma",snomed,400987003,"Asthma trigger",0.950,api
"Asthma",snomed,57607007,"Occupational asthma",0.950,api
"Asthma",snomed,702823004,"Asthma clinic",0.950,api
"Asthma",loinc,Asthma tracking panel,"Asthma tracking panel",0.950,api
"Asthma",loinc,Asthma stop age PhenX,"Asthma stop age PhenX",0.950,api
"Asthma",loinc,Asthma Dr confirmed PhenX,"Asthma Dr confirmed PhenX",0.950,api
"Asthma",loinc,Asthma ever 6 PhenX,"Asthma ever 6 PhenX",0.950,api
"Asthma",loinc,Asthma still have PhenX,"Asthma still have PhenX",0.950,api
"Pneumonia",snomed,233604007,"Pneumonia",0.950,api
"Pneumonia",snomed,195889001,"Legionella pneumonia",0.950,api
"Pneumonia",snomed,314978007,"Postoperative pneumonia",0.950,api
"Pneumonia",snomed,53084003,"Bacterial pneumonia",0.950,api
"Pneumonia",snomed,76090006,"Pittsburgh pneumonia",0.950,api
"Pneumonia",loinc,Pneumonia,"Pneumonia",0.950,api
"Pneumonia",loinc,Pneumonia,"Pneumonia",0.950,api
"Pneumonia",loinc,Pneumonia probability AI based calc,"Pneumonia probability AI based calc",0.950,api
"Pneumonia",loinc,Pneumonia ever PhenX,"Pneumonia ever PhenX",0.950,api
"Pneumonia",loinc,Pneumonia Dr confirmed PhenX,"Pneumonia Dr confirmed PhenX",0.950,api
"Myocardial infarction",snomed,22298006,"Myocardial infarction",0.950,api
"Myocardial infarction",snomed,194856005,"Subsequent myocardial infarction",0.950,api
"Myocardial infarction",snomed,113155009,"Myocardial infarction education",0.950,api
"Myocardial infarction",snomed,266897007,"FH: Myocardial infarction",0.950,api
"Myocardial infarction",snomed,129574000,"Postoperative myocardial infarction",0.950,api
"Myocardial infarction",loinc,Myocardial infarction,"Myocardial infarction",0.950,api
"Myocardial infarction",loinc,Myocardial infarction in interim,"Myocardial infarction in interim",0.950,api
"Myocardial infarction",loinc,Myocardial infarction Reported,"Myocardial infarction Reported",0.950,api
"Myocardial infarction",loinc,Date of myocardial infarction,"Date of myocardial infarction",0.950,api
"Myocardial infarction",loinc,PhenX measure - myocardial infarction,"PhenX measure - myocardial infarction",0.950,api
"Chronic obstructive pulmonary disease",snomed,13645005,"Chronic obstructive pulmonary disease",0.950,api
"Chronic obstructive pulmonary disease",snomed,313297008,"Moderate chronic obstructive pulmonary disease",0.950,api
"Chronic obstructive pulmonary disease",snomed,390891009,"Chronic obstructive pulmonary disease monitoring",0.950,api
"Chronic obstructive pulmonary disease",snomed,171230000,"Chronic obstructive pulmonary disease screening",0.950,api
"Chronic obstructive pulmonary disease",snomed,313296004,"Mild chronic obstructive pulmonary disease",0.950,api
"Chronic obstructive pulmonary disease",loinc,Asthma,Chronic Obstructive Pulmonary Disease (COPD), or Chronic Lung Disease,"Asthma,Chronic Obstructive Pulmonary Disease (COPD), or Chronic Lung Disease",0.950,api
"Chronic obstructive pulmonary disease",loinc,Emphysema or COPD,"Emphysema or COPD",0.950,api
"Acute appendicitis",snomed,85189001,"Acute appendicitis",0.950,api
"Acute appendicitis",snomed,735591005,"Acute phlegmonous appendicitis",0.950,api
"Acute appendicitis",snomed,84534001,"Acute fulminating appendicitis",0.950,api
"Acute appendicitis",snomed,4998000,"Acute obstructive appendicitis",0.950,api
"Acute appendicitis",snomed,50846009,"Acute gangrenous appendicitis",0.950,api
"Migraine",snomed,37796009,"Migraine",0.950,api
"Migraine",snomed,408381007,"Migraine prophylaxis",0.950,api
"Migraine",snomed,75879005,"Abdominal migraine",0.950,api
"Migraine",snomed,79267007,"Retinal migraine",0.950,api
"Migraine",snomed,83351003,"Basilar migraine",0.950,api
"Migraine",loinc,Migraine hx PhenX,"Migraine hx PhenX",0.950,api
"Migraine",loinc,PhenX - migraine protocol 130501,"PhenX - migraine protocol 130501",0.950,api
"Migraine",loinc,Migraine freq PhenX,"Migraine freq PhenX",0.950,api
"Migraine",loinc,PhenX measure - migraine,"PhenX measure - migraine",0.950,api
"Migraine",loinc,HMEP multigene analy Bld/T,"HMEP multigene analy Bld/T",0.950,api
"Depression",snomed,428901000124105,"Depression education",0.950,api
"Depression",snomed,251245007,"PR depression",0.950,api
"Depression",snomed,255339005,"Depression - motion",0.950,api
"Depression",snomed,310497006,"Severe depression",0.950,api
"Depression",snomed,310495003,"Mild depression",0.950,api
"Depression",loinc,Geriatric depression scale (GDS) panel,"Geriatric depression scale (GDS) panel",0.950,api
"Depression",loinc,PhenX - depression - child protocol 120501,"PhenX - depression - child protocol 120501",0.950,api
"Depression",loinc,Geriatric depression scale (GDS).short version panel,"Geriatric depression scale (GDS).short version panel",0.950,api
"Depression",loinc,Symptomatic depression,"Symptomatic depression",0.950,api
"Depression",loinc,Depression score,"Depression score",0.950,api
"Anxiety disorder",snomed,197480006,"Anxiety disorder",0.950,api
"Anxiety disorder",snomed,16265701000119107,"Illness anxiety disorder",0.950,api
"Anxiety disorder",snomed,111487009,"Dream anxiety disorder",0.950,api
"Anxiety disorder",snomed,21897009,"Generalized anxiety disorder",0.950,api
"Anxiety disorder",snomed,17496003,"Organic anxiety disorder",0.950,api
"Anxiety disorder",loinc,Anxiety disorder,"Anxiety disorder",0.950,api
"Anxiety disorder",loinc,Anxiety Disorder,"Anxiety Disorder",0.950,api
"Anxiety disorder",loinc,Generalized anxiety disorder 7 item,"Generalized anxiety disorder 7 item",0.950,api
"Anxiety disorder",loinc,Generalized anxiety disorder 7 item total score,"Generalized anxiety disorder 7 item total score",0.950,api
"Anxiety disorder",loinc,PhenX measure - anxiety disorders screener,"PhenX measure - anxiety disorders screener",0.950,api
"Rheumatoid arthritis",snomed,69896004,"Rheumatoid arthritis",0.950,api
"Rheumatoid arthritis",snomed,12396006,"Rheumatoid arthritis virus",0.950,api
"Rheumatoid arthritis",snomed,171239004,"Rheumatoid arthritis screening",0.950,api
"Rheumatoid arthritis",snomed,239792003,"Seronegative rheumatoid arthritis",0.950,api
"Rheumatoid arthritis",snomed,275902004,"Rheumatoid arthritis monitoring",0.950,api
"Rheumatoid arthritis",loinc,Rheumatoid factor & Cyclic citrullinated peptide Ab.IgG panel,"Rheumatoid factor & Cyclic citrullinated peptide Ab.IgG panel",0.950,api
"Rheumatoid arthritis",loinc,cCP Ab Ser-aCnc,"cCP Ab Ser-aCnc",0.950,api
"Rheumatoid arthritis",loinc,cCP Ab Ser Ql,"cCP Ab Ser Ql",0.950,api
"Rheumatoid arthritis",loinc,MTX-PGs RBC-sCnc,"MTX-PGs RBC-sCnc",0.950,api
"Rheumatoid arthritis",loinc,Calprotectin Stl-mCnt,"Calprotectin Stl-mCnt",0.950,api
"Osteoarthritis",snomed,396275006,"Osteoarthritis",0.950,api
"Osteoarthritis",snomed,1162304008,"Oligoarticular osteoarthritis",0.950,api
"Osteoarthritis",snomed,443524000,"Secondary osteoarthritis",0.950,api
"Osteoarthritis",snomed,74885006,"Interphalangeal osteoarthritis",0.950,api
"Osteoarthritis",snomed,450521003,"Patellofemoral osteoarthritis",0.950,api
"Osteoarthritis",loinc,PhenX - arthritis - osteoarthritis protocol 170201,"PhenX - arthritis - osteoarthritis protocol 170201",0.950,api
"Osteoarthritis",loinc,Hip dysfunction and osteoarthritis outcome score,"Hip dysfunction and osteoarthritis outcome score",0.950,api
"Osteoarthritis",loinc,PhenX measure - arthritis - osteoarthritis,"PhenX measure - arthritis - osteoarthritis",0.950,api
"Osteoarthritis",loinc,Knee injury and osteoarthritis outcome score,"Knee injury and osteoarthritis outcome score",0.950,api
"Osteoarthritis",loinc,Hip dysfunction and osteoarthritis outcome score for joint replacement,"Hip dysfunction and osteoarthritis outcome score for joint replacement",0.950,api
"Gastroesophageal reflux disease",snomed,235595009,"Gastroesophageal reflux disease",0.950,api
"Gastroesophageal reflux disease",snomed,371101003,"Gastroesophageal reflux disease with apnea",0.950,api
"Gastroesophageal reflux disease",snomed,70861000119106,"History of gastroesophageal reflux disease",0.950,api
"Gastroesophageal reflux disease",snomed,266435005,"Gastroesophageal reflux disease without esophagitis",0.950,api
"Gastroesophageal reflux disease",snomed,15643101000119103,"Gastroesophageal reflux disease in pregnancy",0.950,api
"Gastroesophageal reflux disease",loinc,PhenX - gastroesophageal reflux disease (GERD) symptoms protocol 191101,"PhenX - gastroesophageal reflux disease (GERD) symptoms protocol 191101",0.950,api
"Gastroesophageal reflux disease",loinc,Gastroesophageal Reflux Disease (GERD) or Ulcer,"Gastroesophageal Reflux Disease (GERD) or Ulcer",0.950,api
"Gastroesophageal reflux disease",loinc,PhenX measure - gastroesophageal reflux disease (GERD) symptoms,"PhenX measure - gastroesophageal reflux disease (GERD) symptoms",0.950,api
"Urinary tract infection",snomed,197928006,"Chronic urinary tract infection",0.950,api
"Urinary tract infection",snomed,431309003,"Acute urinary tract infection",0.950,api
"Urinary tract infection",snomed,301012009,"Proteus urinary tract infection",0.950,api
"Urinary tract infection",snomed,422747000,"Upper urinary tract infection",0.950,api
"Urinary tract infection",snomed,301010001,"Coliform urinary tract infection",0.950,api
"Urinary tract infection",loinc,Urinary tract pathogens panel,"Urinary tract pathogens panel",0.950,api
"Urinary tract infection",loinc,Urinary tract pathogens panel,"Urinary tract pathogens panel",0.950,api
"Urinary tract infection",loinc,Urinary tract infection in last 30D,"Urinary tract infection in last 30D",0.950,api
"Urinary tract infection",loinc,Urinary tract infection in last 7D,"Urinary tract infection in last 7D",0.950,api
"Urinary tract infection",loinc,Has this patient been treated for a Urinary Tract Infection in the past 14 days?,"Has this patient been treated for a Urinary Tract Infection in the past 14 days?",0.950,api
"Atrial fibrillation",snomed,49436004,"Atrial fibrillation",0.950,api
"Atrial fibrillation",snomed,440028005,"Permanent atrial fibrillation",0.950,api
"Atrial fibrillation",snomed,164889003,"ECG: atrial fibrillation",0.950,api
"Atrial fibrillation",snomed,314208002,"Rapid atrial fibrillation",0.950,api
"Atrial fibrillation",snomed,300996004,"Controlled atrial fibrillation",0.950,api
"Atrial fibrillation",loinc,Atrial fibrillation,"Atrial fibrillation",0.950,api
"Atrial fibrillation",loinc,Date of 1st episode atrial fibrillation,"Date of 1st episode atrial fibrillation",0.950,api
"Atrial fibrillation",loinc,Atrial Fibrillation and Other Dysrhythmias,"Atrial Fibrillation and Other Dysrhythmias",0.950,api
"Atrial fibrillation",loinc,Afib 10Y risk,"Afib 10Y risk",0.950,api
"Atrial fibrillation",loinc,Anticoagulants for treatment of AF,"Anticoagulants for treatment of AF",0.950,api
"Heart failure",snomed,84114007,"Heart failure",0.950,api
"Heart failure",snomed,23341000119109,"Congestive heart failure with right heart failure",0.950,api
"Heart failure",snomed,46113002,"Hypertensive heart failure",0.950,api
"Heart failure",snomed,423475008,"Heart failure education",0.950,api
"Heart failure",snomed,56675007,"Acute heart failure",0.950,api
"Heart failure",loinc,Heart failure Telehealth Note,"Heart failure Telehealth Note",0.950,api
"Heart failure",loinc,Heart Failure,"Heart Failure",0.950,api
"Heart failure",loinc,Heart failure Consult note,"Heart failure Consult note",0.950,api
"Heart failure",loinc,Congestive heart failure,"Congestive heart failure",0.950,api
"Heart failure",loinc,Heart failure tracking panel,"Heart failure tracking panel",0.950,api
"Stroke",snomed,90096001,"Stroke volume",0.950,api
"Stroke",snomed,170600009,"Stroke monitoring",0.950,api
"Stroke",snomed,57981008,"Progressing stroke",0.950,api
"Stroke",snomed,2517002,"Stroke rehabilitation",0.950,api
"Stroke",snomed,422504002,"Ischemic stroke",0.950,api
"Stroke",loinc,Cerebrovascular Accident (CVA), Transient Ischemic Attack (TIA), or Stroke,"Cerebrovascular Accident (CVA), Transient Ischemic Attack (TIA), or Stroke",0.950,api
"Stroke",loinc,CVA Reported,"CVA Reported",0.950,api
"Stroke",loinc,Physician dx stroke PhenX,"Physician dx stroke PhenX",0.950,api
"Stroke",loinc,PhenX measure - history of stroke - ischemic infarct - hemorrhage,"PhenX measure - history of stroke - ischemic infarct - hemorrhage",0.950,api
"Stroke",loinc,Date stroke occurred PhenX,"Date stroke occurred PhenX",0.950,api
"Epilepsy",snomed,84757009,"Epilepsy",0.950,api
"Epilepsy",snomed,230396008,"Cingulate epilepsy",0.950,api
"Epilepsy",snomed,230454005,"Aquagenic epilepsy",0.950,api
"Epilepsy",snomed,230392005,"Rhinencephalic epilepsy",0.950,api
"Epilepsy",snomed,230381009,"Focal epilepsy",0.950,api
"Epilepsy",loinc,Epilepsy Note,"Epilepsy Note",0.950,api
"Epilepsy",loinc,Epilepsy,"Epilepsy",0.950,api
"Epilepsy",loinc,Epilepsy Consult note,"Epilepsy Consult note",0.950,api
"Epilepsy",loinc,EPM2A gene Mut Anl Bld/T,"EPM2A gene Mut Anl Bld/T",0.950,api
"Epilepsy",loinc,Epilepsy autoimmune Ab panel,"Epilepsy autoimmune Ab panel",0.950,api
"Parkinson disease",snomed,724761004,"Sporadic Parkinson disease",0.950,api
"Parkinson disease",snomed,715345007,"Young onset Parkinson disease",0.950,api
"Parkinson disease",snomed,1156822001,"Autosomal recessive familial Parkinson disease",0.950,api
"Parkinson disease",snomed,103871000119109,"Restrictive lung disease due to Parkinson disease",0.950,api
"Parkinson disease",snomed,15755701000119105,"Fluency disorder due to Parkinson disease",0.950,api
"Parkinson disease",loinc,Parkinson's disease,"Parkinson's disease",0.950,api
"Parkinson disease",loinc,Parkinson's Disease,"Parkinson's Disease",0.950,api
"Parkinson disease",loinc,Unified Parkinson's Disease Rating Scale panel,"Unified Parkinson's Disease Rating Scale panel",0.950,api
"Parkinson disease",loinc,Parkinson Ds multigene analysis Spec,"Parkinson Ds multigene analysis Spec",0.950,api
"Parkinson disease",loinc,Predictable off period 1W UPDRS,"Predictable off period 1W UPDRS",0.950,api
"Alzheimer disease",snomed,722600006,"Non-amnestic Alzheimer disease",0.950,api
"Alzheimer disease",snomed,1259128002,"Alzheimer disease with psychosis",0.950,api
"Alzheimer disease",snomed,1263555006,"Logopenic non-amnestic Alzheimer disease",0.950,api
"Alzheimer disease",snomed,721219005,"Familial Alzheimer-like prion disease",0.950,api
"Alzheimer disease",snomed,1263585001,"Frontal variant non-amnestic Alzheimer disease",0.950,api
"Alzheimer disease",loinc,Alzheimer's disease,"Alzheimer's disease",0.950,api
"Alzheimer disease",loinc,Alzheimer's Disease,"Alzheimer's Disease",0.950,api
"Alzheimer disease",loinc,Alzheimer's risk Score CSF Calc,"Alzheimer's risk Score CSF Calc",0.950,api
"Alzheimer disease",loinc,Amyloid prob score Plas Calc,"Amyloid prob score Plas Calc",0.950,api
"Alzheimer disease",loinc,Dementia other than Alzheimer's disease,"Dementia other than Alzheimer's disease",0.950,api
"Breast cancer",snomed,134405005,"Suspected breast cancer",0.950,api
"Breast cancer",snomed,724451007,"Fear of breast cancer",0.950,api
"Breast cancer",snomed,706970001,"Triple-negative breast cancer",0.950,api
"Breast cancer",snomed,1082701000112100,"Locally advanced breast cancer",0.950,api
"Breast cancer",snomed,60631000210103,"Breast cancer multidisciplinary meeting",0.950,api
"Breast cancer",loinc,Grading system BT,"Grading system BT",0.950,api
"Breast cancer",loinc,Margin involved BT,"Margin involved BT",0.950,api
"Breast cancer",loinc,Mitotic count /10 HPF BT,"Mitotic count /10 HPF BT",0.950,api
"Breast cancer",loinc,Deprecated T classification BT CAP prot,"Deprecated T classification BT CAP prot",0.950,api
"Breast cancer",loinc,Microcalcifications BT,"Microcalcifications BT",0.950,api
"Lung cancer",snomed,162573006,"Suspected lung cancer",0.950,api
"Lung cancer",snomed,13015001000119105,"Lung cancer screening declined",0.950,api
"Lung cancer",snomed,254637007,"Non-small cell lung cancer",0.950,api
"Lung cancer",snomed,363358000,"Malignant tumor of lung",0.950,api
"Lung cancer",snomed,1259727001,"Primary non-small cell lung cancer",0.950,api
"Lung cancer",loinc,Lung cancer antibody SerPl IA-Imp,"Lung cancer antibody SerPl IA-Imp",0.950,api
"Lung cancer",loinc,Lung cancer panel,"Lung cancer panel",0.950,api
"Lung cancer",loinc,Lung ca screening Plas.cfDNA Ql,"Lung ca screening Plas.cfDNA Ql",0.950,api
"Lung cancer",loinc,Lung cancer antibody panel,"Lung cancer antibody panel",0.950,api
"Lung cancer",loinc,Lung cancer worry PLCO,"Lung cancer worry PLCO",0.950,api
"Colon cancer",snomed,31001000119109,"Colon cancer screening declined",0.950,api
"Colon cancer",snomed,315058005,"HNPCC - hereditary nonpolyposis colon cancer",0.950,api
"Colon cancer",snomed,312824007,"Family history of cancer of colon",0.950,api
"Colon cancer",snomed,1098871000119109,"Family history of hereditary nonpolyposis colon cancer",0.950,api
"Colon cancer",snomed,110796003,"Colon and colon, CS",0.950,api
"Colon cancer",loinc,MSH2+MLH1 gene Mut Anl Bld/T,"MSH2+MLH1 gene Mut Anl Bld/T",0.950,api
"Colon cancer",loinc,MSH2+MLH1+MSH6 gene Mut Anl Bld/T,"MSH2+MLH1+MSH6 gene Mut Anl Bld/T",0.950,api
"Colon cancer",loinc,MLH1 Methyl Anl Tumor,"MLH1 Methyl Anl Tumor",0.950,api
"Colon cancer",loinc,MSH2+MLH1+MSH6 gene Fam Mut Anl Bld/T,"MSH2+MLH1+MSH6 gene Fam Mut Anl Bld/T",0.950,api
"Colon cancer",loinc,MLH1 Methyl Anl Bld,"MLH1 Methyl Anl Bld",0.950,api
"Melanoma",snomed,1285320000,"Nevoid melanoma",0.950,api
"Melanoma",snomed,103511000119103,"Melanoma carcinomatosis",0.950,api
"Melanoma",snomed,70594002,"Amelanotic melanoma",0.950,api
"Melanoma",snomed,399521000,"Necrotic melanoma",0.950,api
"Melanoma",snomed,1285321001,"Nevoid melanoma",0.950,api
"Melanoma",loinc,Desmoplastic melanoma Mel,"Desmoplastic melanoma Mel",0.950,api
"Melanoma",loinc,Melanoma PhenX,"Melanoma PhenX",0.950,api
"Melanoma",loinc,Melanoma family hx PhenX,"Melanoma family hx PhenX",0.950,api
"Melanoma",loinc,I have pain at my melanoma site or surgical site,"I have pain at my melanoma site or surgical site",0.950,api
"Melanoma",loinc,IM.uninv marg.closest Mel,"IM.uninv marg.closest Mel",0.950,api
"Leukemia",snomed,1162768007,"Leukemia",0.950,api
"Leukemia",snomed,93143009,"Leukemia",0.950,api
"Leukemia",snomed,1163439000,"Myeloid leukemia",0.950,api
"Leukemia",snomed,188744006,"Monocytic leukemia",0.950,api
"Leukemia",snomed,302855005,"Subacute leukemia",0.950,api
"Leukemia",loinc,Chronic leukemia panel,"Chronic leukemia panel",0.950,api
"Leukemia",loinc,Acute leukemia panel,"Acute leukemia panel",0.950,api
"Leukemia",loinc,Leukemia markers Plr-Imp,"Leukemia markers Plr-Imp",0.950,api
"Leukemia",loinc,Acute myeloid leukemia panel,"Acute myeloid leukemia panel",0.950,api
"Leukemia",loinc,Cancer or leukemia PhenX,"Cancer or leukemia PhenX",0.950,api
"Anemia",snomed,271737000,"Anemia",0.950,api
"Anemia",snomed,53165003,"Megaloblastic anemia",0.950,api
"Anemia",snomed,422167001,"Mycoplasmal anemia",0.950,api
"Anemia",snomed,171201007,"Anemia screening",0.950,api
"Anemia",snomed,2694001,"Myelophthisic anemia",0.950,api
"Anemia",loinc,Anemia,"Anemia",0.950,api
"Anemia",loinc,Anemia,"Anemia",0.950,api
"Anemia",loinc,FANCC gene Mut Anl Bld/T,"FANCC gene Mut Anl Bld/T",0.950,api
"Anemia",loinc,Anemia management panel,"Anemia management panel",0.950,api
"Anemia",loinc,Anemia Evaluation Panel,"Anemia Evaluation Panel",0.950,api
"Thrombocytopenia",snomed,302215000,"Thrombocytopenic disorder",0.950,api
"Thrombocytopenia",snomed,721304007,"Refractory thrombocytopenia",0.950,api
"Thrombocytopenia",snomed,51624005,"Dilutional thrombocytopenia",0.950,api
"Thrombocytopenia",snomed,234487003,"Mediterranean thrombocytopenia",0.950,api
"Thrombocytopenia",snomed,273986001,"Perinatal thrombocytopenia",0.950,api
"Thrombocytopenia",loinc,SRA 1.0 IU/mL LMW heparin Ser-aCnc,"SRA 1.0 IU/mL LMW heparin Ser-aCnc",0.950,api
"Thrombocytopenia",loinc,SRA 50 IU/mL LMW heparin Ser-aCnc,"SRA 50 IU/mL LMW heparin Ser-aCnc",0.950,api
"Thrombocytopenia",loinc,Platelet Satel Bld Ql Smear,"Platelet Satel Bld Ql Smear",0.950,api
"Thrombocytopenia",loinc,IT multigene analysis Bld/T,"IT multigene analysis Bld/T",0.950,api
"Thrombocytopenia",loinc,WAS gene Mut Anl Bld/T,"WAS gene Mut Anl Bld/T",0.950,api
"Hypothyroidism",snomed,40930008,"Hypothyroidism",0.950,api
"Hypothyroidism",snomed,237519003,"Autoimmune hypothyroidism",0.950,api
"Hypothyroidism",snomed,83986005,"Severe hypothyroidism",0.950,api
"Hypothyroidism",snomed,10753681000119101,"Postpartum hypothyroidism",0.950,api
"Hypothyroidism",snomed,405629002,"Infant hypothyroidism",0.950,api
"Hypothyroidism",loinc,Hypothyroidism,"Hypothyroidism",0.950,api
"Hypothyroidism",loinc,Deprecated CH DBS-Imp,"Deprecated CH DBS-Imp",0.950,api
"Hypothyroidism",loinc,CH DBS-Imp,"CH DBS-Imp",0.950,api
"Hypothyroidism",loinc,Secondary CH DBS-Imp,"Secondary CH DBS-Imp",0.950,api
"Hypothyroidism",loinc,CH NBS comment,"CH NBS comment",0.950,api
"Hyperthyroidism",snomed,34486009,"Hyperthyroidism",0.950,api
"Hyperthyroidism",snomed,10754961000119101,"Postpartum hyperthyroidism",0.950,api
"Hyperthyroidism",snomed,427970008,"Subclinical hyperthyroidism",0.950,api
"Hyperthyroidism",snomed,416477006,"Hyperthyroidism resolved",0.950,api
"Hyperthyroidism",snomed,722942005,"Familial hyperthyroidism",0.950,api
"Hyperthyroidism",loinc,Hyperthyroidism,"Hyperthyroidism",0.950,api
"Obesity",snomed,414916001,"Obesity",0.950,api
"Obesity",snomed,111036000,"Hyperinsulinar obesity",0.950,api
"Obesity",snomed,297500005,"Endogenous obesity",0.950,api
"Obesity",snomed,238134004,"Generalized obesity",0.950,api
"Obesity",snomed,292464007,"Constitutional obesity",0.950,api
"Obesity",loinc,Obesity med Note,"Obesity med Note",0.950,api
"Obesity",loinc,Obesity med Consult note,"Obesity med Consult note",0.950,api
"Obesity",loinc,Obesity med OP Note,"Obesity med OP Note",0.950,api
"Obesity",loinc,Obesity med Phone Note,"Obesity med Phone Note",0.950,api
"Obesity",loinc,Obesity med Group counseling note,"Obesity med Group counseling note",0.950,api
"Malnutrition",snomed,171184005,"Malnutrition screening",0.950,api
"Malnutrition",snomed,272588001,"Malnutrition (calorie)",0.950,api
"Malnutrition",snomed,2492009,"Nutritional disorder",0.950,api
"Malnutrition",snomed,1304062007,"Malnutrition Screening Tool",0.950,api
"Malnutrition",snomed,441951000124102,"Starvation-related malnutrition",0.950,api
"Malnutrition",loinc,Malnutrition risk screening panel,"Malnutrition risk screening panel",0.950,api
"Malnutrition",loinc,Malnut risk scn resu,"Malnut risk scn resu",0.950,api
