Term,System,Code,Display,Confidence,Match Type
"Malnutrition",loinc,Malnutrition (protein or calorie) or at risk for malnutrition,"Malnutrition (protein or calorie) or at risk for malnutrition",0.950,api
"Malnutrition",loinc,Nut assess malnut status,"Nut assess malnut status",0.950,api
"Dehydration",snomed,34095006,"Dehydration",0.950,api
"Dehydration",snomed,78812008,"Neonatal dehydration",0.950,api
"Dehydration",snomed,182783002,"Dehydration monitoring",0.950,api
"Dehydration",snomed,450316000,"Severe dehydration",0.950,api
"Dehydration",snomed,427784006,"Hypernatremic dehydration",0.950,api
"Dehydration",loinc,Dehydration &or fluid maintenance trigger,"Dehydration &or fluid maintenance trigger",0.950,api
"Dehydration",loinc,Dehydration/fluid maintenance - care area triggered,"Dehydration/fluid maintenance - care area triggered",0.950,api
"Dehydration",loinc,Dehydration/fluid maintenance - addressed in care plan,"Dehydration/fluid maintenance - addressed in care plan",0.950,api
"Dehydration",loinc,Resident assessment protocol 14--Dehydration &or Fluid maint - triggered,"Resident assessment protocol 14--Dehydration &or Fluid maint - triggered",0.950,api
"Dehydration",loinc,Resident assessment protocol 14--Dehydration &or Fluid maint - proceed with care,"Resident assessment protocol 14--Dehydration &or Fluid maint - proceed with care",0.950,api
"Fever",snomed,386661006,"Fever",0.950,api
"Fever",snomed,85904008,"Paratyphoid fever",0.950,api
"Fever",snomed,123977005,"Etiocholanolone fever",0.950,api
"Fever",snomed,240515005,"Uukuniemi fever",0.950,api
"Fever",snomed,79958002,"Grain fever",0.950,api
"Fever",loinc,Fever,"Fever",0.950,api
"Fever",loinc,Rheumatic fever,"Rheumatic fever",0.950,api
"Fever",loinc,Fever Mother,"Fever Mother",0.950,api
"Fever",loinc,Fever duration,"Fever duration",0.950,api
"Fever",loinc,Fever duration Mother,"Fever duration Mother",0.950,api
"Cough",snomed,49727002,"Cough",0.950,api
"Cough",snomed,102580004,"Cough suppression",0.950,api
"Cough",snomed,59994004,"Hacking cough",0.950,api
"Cough",snomed,227624001,"Cough drop",0.950,api
"Cough",snomed,383350451000119103,"Subacute cough",0.950,api
"Cough",loinc,Cough duration,"Cough duration",0.950,api
"Cough",loinc,Date of cough onset,"Date of cough onset",0.950,api
"Cough",loinc,Age at cough onset,"Age at cough onset",0.950,api
"Cough",loinc,Cough breathless tired PhenX,"Cough breathless tired PhenX",0.950,api
"Cough",loinc,Cough D night PhenX,"Cough D night PhenX",0.950,api
"Dyspnea",snomed,267036007,"Dyspnea",0.950,api
"Dyspnea",snomed,248548009,"Nocturnal dyspnea",0.950,api
"Dyspnea",snomed,59265000,"Paroxysmal dyspnea",0.950,api
"Dyspnea",snomed,34560001,"Expiratory dyspnea",0.950,api
"Dyspnea",snomed,870535009,"Chronic dyspnea",0.950,api
"Dyspnea",loinc,Functional assessment of chronic illness therapy - dyspnea questionnaire - 10 items,"Functional assessment of chronic illness therapy - dyspnea questionnaire - 10 items",0.950,api
"Dyspnea",loinc,Functional assessment of chronic illness therapy - dyspnea questionnaire - 33 items,"Functional assessment of chronic illness therapy - dyspnea questionnaire - 33 items",0.950,api
"Dyspnea",loinc,Dyspnea,"Dyspnea",0.950,api
"Dyspnea",loinc,Are you short of breath on washing or dressing?,"Are you short of breath on washing or dressing?",0.950,api
"Dyspnea",loinc,Dyspnea Resting Respiratory,"Dyspnea Resting Respiratory",0.950,api
"Chest pain",snomed,29857009,"Chest pain",0.950,api
"Chest pain",snomed,1264062004,"Burning chest pain",0.950,api
"Chest pain",snomed,161972006,"Central chest pain",0.950,api
"Chest pain",snomed,3368006,"Dull chest pain",0.950,api
"Chest pain",snomed,225566008,"Ischemic chest pain",0.950,api
"Chest pain",loinc,Chest pain physical activity rPARQ,"Chest pain physical activity rPARQ",0.950,api
"Chest pain",loinc,I have a pain in my chest when I swallow,"I have a pain in my chest when I swallow",0.950,api
"Chest pain",loinc,I have pain in my chest,"I have pain in my chest",0.950,api
"Chest pain",loinc,Chest pain,"Chest pain",0.950,api
"Chest pain",loinc,Chest pain past Mo rPARQ,"Chest pain past Mo rPARQ",0.950,api
"Abdominal pain",snomed,21522001,"Abdominal pain",0.950,api
"Abdominal pain",snomed,45979003,"Abdominal wind pain",0.950,api
"Abdominal pain",snomed,162042000,"Abdominal wall pain",0.950,api
"Abdominal pain",snomed,307199009,"Psychosomatic abdominal pain",0.950,api
"Abdominal pain",snomed,304542004,"Nonspecific abdominal pain",0.950,api
"Abdominal pain",loinc,Abdominal pain,"Abdominal pain",0.950,api
"Abdominal pain",loinc,PhenX measure - pain, abdominal - type and intensity,"PhenX measure - pain, abdominal - type and intensity",0.950,api
"Abdominal pain",loinc,Pain abd - type intensity proto,"Pain abd - type intensity proto",0.950,api
"Headache",snomed,25064002,"Headache",0.950,api
"Headache",snomed,4969004,"Sinus headache",0.950,api
"Headache",snomed,462677001,"Headache stick",0.950,api
"Headache",snomed,162301005,"Bilateral headache",0.950,api
"Headache",snomed,162300006,"Unilateral headache",0.950,api
"Headache",loinc,Headache,"Headache",0.950,api
"Headache",loinc,Usual headache treatment PhenX,"Usual headache treatment PhenX",0.950,api
"Headache",loinc,Child headache once Mo PhenX,"Child headache once Mo PhenX",0.950,api
"Headache",loinc,Headache complications PhenX,"Headache complications PhenX",0.950,api
"Headache",loinc,Headache freq last 3Mo nRate PhenX,"Headache freq last 3Mo nRate PhenX",0.950,api
"Dizziness",snomed,404640003,"Dizziness",0.950,api
"Dizziness",snomed,103017008,"Postural dizziness",0.950,api
"Dizziness",snomed,232289002,"Multisensory dizziness",0.950,api
"Dizziness",snomed,162260006,"Dizziness present",0.950,api
"Dizziness",snomed,103018003,"Exertional dizziness",0.950,api
"Dizziness",loinc,Dizziness,"Dizziness",0.950,api
"Dizziness",loinc,Things with dizziness loss balance PhenX,"Things with dizziness loss balance PhenX",0.950,api
"Dizziness",loinc,Dizziness, vertigo,"Dizziness, vertigo",0.950,api
"Dizziness",loinc,Dizziness attack PhenX,"Dizziness attack PhenX",0.950,api
"Dizziness",loinc,Things dizziness balance occur PhenX,"Things dizziness balance occur PhenX",0.950,api
"Nausea",snomed,422587007,"Nausea",0.950,api
"Nausea",snomed,386368005,"Nausea care",0.950,api
"Nausea",snomed,162057007,"Nausea present",0.950,api
"Nausea",snomed,162056003,"No nausea",0.950,api
"Nausea",snomed,762279002,"Functional nausea",0.950,api
"Nausea",loinc,Nausea,"Nausea",0.950,api
"Nausea",loinc,Nausea,"Nausea",0.950,api
"Nausea",loinc,Frequent nausea vomiting Mos PhenX,"Frequent nausea vomiting Mos PhenX",0.950,api
"Nausea",loinc,Nausea freq PhenX,"Nausea freq PhenX",0.950,api
"Nausea",loinc,Nausea,"Nausea",0.950,api
"Vomiting",snomed,422400008,"Vomiting",0.950,api
"Vomiting",snomed,45994004,"Erotic vomiting",0.950,api
"Vomiting",snomed,71419002,"Bilious vomiting",0.950,api
"Vomiting",snomed,23971007,"Acute vomiting",0.950,api
"Vomiting",snomed,236083006,"Intermittent vomiting",0.950,api
"Vomiting",loinc,Vomiting,"Vomiting",0.950,api
"Vomiting",loinc,Sign and Symptom Checklist for persons with HIV disease,"Sign and Symptom Checklist for persons with HIV disease",0.950,api
"Vomiting",loinc,Vomiting,"Vomiting",0.950,api
"Vomiting",loinc,Vomiting,"Vomiting",0.950,api
"Vomiting",loinc,Vomiting,"Vomiting",0.950,api
"Diarrhea",snomed,62315008,"Diarrhea",0.950,api
"Diarrhea",snomed,95545007,"Hemorrhagic diarrhea",0.950,api
"Diarrhea",snomed,49237006,"Allergic diarrhea",0.950,api
"Diarrhea",snomed,268850004,"Neonatal diarrhea",0.950,api
"Diarrhea",snomed,236066002,"Prototheca diarrhea",0.950,api
"Diarrhea",loinc,Diarrhea,"Diarrhea",0.950,api
"Diarrhea",loinc,Diarrhea,"Diarrhea",0.950,api
"Diarrhea",loinc,Diarrhea,"Diarrhea",0.950,api
"Diarrhea",loinc,Diarrhea,"Diarrhea",0.950,api
"Diarrhea",loinc,I have diarrhea,"I have diarrhea",0.950,api
"Constipation",snomed,14760008,"Constipation",0.950,api
"Constipation",snomed,191973007,"Psychogenic constipation",0.950,api
"Constipation",snomed,197118003,"Functional constipation",0.950,api
"Constipation",snomed,389082000,"Constipation care",0.950,api
"Constipation",snomed,236069009,"Chronic constipation",0.950,api
"Constipation",loinc,Constipation,"Constipation",0.950,api
"Constipation",loinc,Constipation,"Constipation",0.950,api
"Constipation",loinc,Constipation,"Constipation",0.950,api
"Constipation",loinc,Constipation,"Constipation",0.950,api
"Constipation",loinc,Constipation, loose bowels, or diarrhea,"Constipation, loose bowels, or diarrhea",0.950,api
"Fatigue",snomed,84229001,"Fatigue",0.950,api
"Fatigue",snomed,444042007,"Postexertional fatigue",0.950,api
"Fatigue",snomed,1141720008,"No fatigue",0.950,api
"Fatigue",snomed,442099003,"Psychogenic fatigue",0.950,api
"Fatigue",snomed,61157009,"Combat fatigue",0.950,api
"Fatigue",loinc,Fatigue resting,"Fatigue resting",0.950,api
"Fatigue",loinc,Loss energy fatigue DI-PAD,"Loss energy fatigue DI-PAD",0.950,api
"Fatigue",loinc,Functional assessment of chronic illness therapy - fatigue questionnaire -13 items - version 4,"Functional assessment of chronic illness therapy - fatigue questionnaire -13 items - version 4",0.950,api
"Fatigue",loinc,Fatigue post exercise,"Fatigue post exercise",0.950,api
"Fatigue",loinc,In the past 7 days - How often did your fatigue interfere with your social activities?,"In the past 7 days - How often did your fatigue interfere with your social activities?",0.950,api
"Insomnia",snomed,193462001,"Insomnia",0.950,api
"Insomnia",snomed,192454004,"Nonorganic insomnia",0.950,api
"Insomnia",snomed,67062000,"Terminal insomnia",0.950,api
"Insomnia",snomed,162204000,"Late insomnia",0.950,api
"Insomnia",snomed,67233009,"Middle insomnia",0.950,api
"Insomnia",loinc,Stress with insomnia PhenX,"Stress with insomnia PhenX",0.950,api
"Insomnia",loinc,Emotional condition with insomnia PhenX,"Emotional condition with insomnia PhenX",0.950,api
"Insomnia",loinc,Insomnia distress scale PhenX,"Insomnia distress scale PhenX",0.950,api
"Insomnia",loinc,Other meds with insomnia PhenX,"Other meds with insomnia PhenX",0.950,api
"Insomnia",loinc,Insomnia work impairment scale PhenX,"Insomnia work impairment scale PhenX",0.950,api
"Back pain",snomed,134407002,"Chronic back pain",0.950,api
"Back pain",snomed,279038004,"Thoracic back pain",0.950,api
"Back pain",snomed,279039007,"Low back pain",0.950,api
"Back pain",snomed,61486003,"Sacral back pain",0.950,api
"Back pain",snomed,278860009,"Chronic low back pain",0.950,api
"Back pain",loinc,I have a pain in my back,"I have a pain in my back",0.950,api
"Back pain",loinc,Back pain,"Back pain",0.950,api
"Back pain",loinc,Back pain,"Back pain",0.950,api
"Back pain",loinc,When you read a sentence that describes you today, mark the box next to it,"When you read a sentence that describes you today, mark the box next to it",0.950,api
"Back pain",loinc,Overall, how bothersome has your back pain been in the last 2 weeks?,"Overall, how bothersome has your back pain been in the last 2 weeks?",0.950,api
"Joint pain",snomed,57676002,"Joint pain",0.950,api
"Joint pain",snomed,202472008,"Hand joint pain",0.950,api
"Joint pain",snomed,202487003,"Sacroiliac joint pain",0.950,api
"Joint pain",snomed,202482009,"Wrist joint pain",0.950,api
"Joint pain",snomed,247369005,"Facet joint pain",0.950,api
"Joint pain",loinc,Joint pain,"Joint pain",0.950,api
"Joint pain",loinc,I have joint pain or muscle cramps,"I have joint pain or muscle cramps",0.950,api
"Joint pain",loinc,Chest/L-arm/shoulder/jaw pain<3D death,"Chest/L-arm/shoulder/jaw pain<3D death",0.950,api
"Joint pain",loinc,Do you expect your knee joint replacement surgery will relieve your knee pain?,"Do you expect your knee joint replacement surgery will relieve your knee pain?",0.950,api
"Joint pain",loinc,Going up or down stairs,"Going up or down stairs",0.950,api
"Muscle pain",snomed,68962001,"Muscle pain",0.950,api
"Muscle pain",snomed,28221000119103,"Abdominal muscle pain",0.950,api
"Muscle pain",snomed,279070004,"Muscle tension pain",0.950,api
"Muscle pain",snomed,1296686009,"Delayed onset muscle pain",0.950,api
"Muscle pain",snomed,1264014005,"Pain in muscle of shoulder",0.950,api
"Muscle pain",loinc,I have joint pain or muscle cramps,"I have joint pain or muscle cramps",0.950,api
"Muscle pain",loinc,I am bothered by muscle pains,"I am bothered by muscle pains",0.950,api
"Skin rash",snomed,276719000,"Phototherapy skin rash",0.950,api
"Skin rash",snomed,1176998005,"Bacteremic skin rash",0.950,api
"Skin rash",snomed,391000161103,"Rash of periwound skin",0.950,api
"Skin rash",snomed,424223007,"Grade of skin rash",0.950,api
"Skin rash",snomed,420281004,"Skin rash with AIDS (acquired immunodeficiency syndrome)",0.950,api
"Skin rash",loinc,Skin rash ever NHL,"Skin rash ever NHL",0.950,api
"Pruritus",snomed,90446007,"Pruritus ani",0.950,api
"Pruritus",snomed,191966002,"Psychogenic pruritus",0.950,api
"Pruritus",snomed,1254864000,"Paraneoplastic pruritus",0.950,api
"Pruritus",snomed,1256085003,"Multifactorial pruritus",0.950,api
"Pruritus",snomed,386403002,"Pruritus care",0.950,api
"Edema",snomed,267038008,"Edema",0.950,api
"Edema",snomed,79654002,"Edema",0.950,api
"Edema",snomed,84178004,"Conjunctival edema",0.950,api
"Edema",snomed,45872006,"Subepidermal edema",0.950,api
"Edema",snomed,6141006,"Retinal edema",0.950,api
"Edema",loinc,Edema,"Edema",0.950,api
"Edema",loinc,Edema site,"Edema site",0.950,api
"Edema",loinc,Edema,"Edema",0.950,api
"Edema",loinc,Edema present,"Edema present",0.950,api
"Edema",loinc,R eye Macular edema Ophthalmoscopy,"R eye Macular edema Ophthalmoscopy",0.950,api
"Syncope",snomed,271594007,"Syncope",0.950,api
"Syncope",snomed,31457007,"Effort syncope",0.950,api
"Syncope",snomed,234170005,"Deglutition syncope",0.950,api
"Syncope",snomed,427461000,"Near syncope",0.950,api
"Syncope",snomed,234169009,"Defecation syncope",0.950,api
"Syncope",loinc,Syncope,"Syncope",0.950,api
"Syncope",loinc,Can pronounce syncope,"Can pronounce syncope",0.950,api
"Palpitations",snomed,80313002,"Palpitations",0.950,api
"Palpitations",snomed,161966006,"No palpitations",0.950,api
"Palpitations",snomed,248648003,"Palpitations - rapid",0.950,api
"Palpitations",snomed,102590007,"Intermittent palpitations",0.950,api
"Palpitations",snomed,473122004,"History of palpitations",0.950,api
"Hemoptysis",snomed,66857006,"Hemoptysis",0.950,api
"Hemoptysis",snomed,206304007,"Perinatal hemoptysis of fetus and/or neonate",0.950,api
"Hemoptysis",snomed,30369007,"Infection by Paragonimus",0.950,api
"Hematuria",snomed,20407004,"Benign hematuria",0.950,api
"Hematuria",snomed,236718002,"Chemical hematuria",0.950,api
"Hematuria",snomed,371020003,"Renal hematuria",0.950,api
"Hematuria",snomed,281859000,"Persistent hematuria",0.950,api
"Hematuria",snomed,197941005,"Frank hematuria",0.950,api
"Dysphagia",snomed,40739000,"Dysphagia",0.950,api
"Dysphagia",snomed,71457002,"Oropharyngeal dysphagia",0.950,api
"Dysphagia",snomed,40890009,"Esophageal dysphagia",0.950,api
"Dysphagia",snomed,722875003,"Functional dysphagia",0.950,api
"Dysphagia",snomed,19597002,"Intermittent dysphagia",0.950,api
"Dysuria",snomed,49650001,"Dysuria",0.950,api
"Dysuria",snomed,191978003,"Psychogenic dysuria",0.950,api
"Dysuria",snomed,7358000,"Dysuria-frequency syndrome",0.950,api
"Dysuria",snomed,16844001,"Painful urging to urinate",0.950,api
"Polyuria",snomed,28442001,"Polyuria",0.950,api
"Polyuria",snomed,343121331000119105,"Nocturnal polyuria",0.950,api
"Polyuria",snomed,1296758008,"Vasopressin-related polyuria",0.950,api
"Polyuria",snomed,77274005,"Idiopathic vasopressin-related polyuria",0.950,api
"Polyuria",snomed,42021008,"Familial vasopressin-related polyuria",0.950,api
"Oliguria",snomed,83128009,"Oliguria",0.950,api
"Oliguria",snomed,12202501000119106,"Oliguria following procedure",0.950,api
"Oliguria",snomed,72613009,"Miscarriage with oliguria",0.950,api
"Oliguria",snomed,1263950009,"Oliguria following ectopic pregnancy",0.950,api
"Oliguria",snomed,1263949009,"Oliguria following molar pregnancy",0.950,api
"Jaundice",snomed,18165001,"Jaundice",0.950,api
"Jaundice",snomed,66789005,"Hepatocellular jaundice",0.950,api
"Jaundice",snomed,371117009,"Postoperative jaundice",0.950,api
"Jaundice",snomed,387712008,"Neonatal jaundice",0.950,api
"Jaundice",snomed,60217008,"Hemolytic jaundice",0.950,api
"Jaundice",loinc,I am bothered by jaundice or yellow color to my skin,"I am bothered by jaundice or yellow color to my skin",0.950,api
"Cyanosis",snomed,3415004,"Cyanosis",0.950,api
"Cyanosis",snomed,95837007,"Central cyanosis",0.950,api
"Cyanosis",snomed,95442007,"Peripheral cyanosis",0.950,api
"Cyanosis",snomed,84906002,"Local cyanosis",0.950,api
"Cyanosis",snomed,95617006,"Neonatal cyanosis",0.950,api
"Pallor",snomed,95199009,"Pallor of liver",0.950,api
"Pallor",snomed,95200007,"Pallor of lung",0.950,api
"Pallor",snomed,95201006,"Pallor of spleen",0.950,api
"Pallor",snomed,302200001,"Pallor of optic disc",0.950,api
"Pallor",snomed,392166002,"Pallor of neuroretinal rim",0.950,api
"Lymphadenopathy",snomed,30746006,"Lymphadenopathy",0.950,api
"Lymphadenopathy",snomed,127111003,"Esophageal lymphadenopathy",0.950,api
"Lymphadenopathy",snomed,43766001,"Fibrotic lymphadenopathy",0.950,api
"Lymphadenopathy",snomed,127209001,"Tibial lymphadenopathy",0.950,api
"Lymphadenopathy",snomed,52097008,"Angioimmunoblastic lymphadenopathy",0.950,api
"Lymphadenopathy",loinc,Lymphadenopathy Mother,"Lymphadenopathy Mother",0.950,api
"Hepatomegaly",snomed,407000,"Congenital hepatomegaly",0.950,api
"Hepatomegaly",snomed,240790002,"Schistosomal hepatomegaly",0.950,api
"Hepatomegaly",snomed,192008,"Congenital syphilitic hepatomegaly",0.950,api
"Hepatomegaly",snomed,80515008,"Large liver",0.950,api
"Hepatomegaly",snomed,773584001,"Muscular hypertrophy, hepatomegaly, polyhydramnios syndrome",0.950,api
"Splenomegaly",snomed,16294009,"Splenomegaly",0.950,api
"Splenomegaly",snomed,36752001,"Congenital splenomegaly",0.950,api
"Splenomegaly",snomed,240793000,"Schistosomal splenomegaly",0.950,api
"Splenomegaly",snomed,19058002,"Congestive splenomegaly",0.950,api
"Splenomegaly",snomed,56118002,"Congenital syphilitic splenomegaly",0.950,api
"Ascites",snomed,389026000,"Ascites",0.950,api
"Ascites",snomed,26170003,"Urine ascites",0.950,api
"Ascites",snomed,236006000,"Metabolic ascites",0.950,api
"Ascites",snomed,860638000,"No ascites",0.950,api
"Ascites",snomed,236004002,"Hepatic ascites",0.950,api
"Ascites",loinc,Degree of ascites,"Degree of ascites",0.950,api
"Ascites",loinc,Color Prt,"Color Prt",0.950,api
"Ascites",loinc,Albumin ser-prt fld-MCDiff,"Albumin ser-prt fld-MCDiff",0.950,api
"Ascites",loinc,Functional assessment of chronic illness therapy for patients with ascites questionnaire,"Functional assessment of chronic illness therapy for patients with ascites questionnaire",0.950,api
"Ascites",loinc,Appearance Prt,"Appearance Prt",0.950,api
"Pleural effusion",snomed,60046008,"Pleural effusion",0.950,api
"Pleural effusion",snomed,13841000119107,"Exudative pleural effusion",0.950,api
"Pleural effusion",snomed,446986002,"Tuberculous pleural effusion",0.950,api
"Pleural effusion",snomed,425802001,"Bilateral pleural effusion",0.950,api
"Pleural effusion",snomed,427895005,"Loculated pleural effusion",0.950,api
"Pneumothorax",snomed,36118008,"Pneumothorax",0.950,api
"Pneumothorax",snomed,109364007,"Left pneumothorax",0.950,api
"Pneumothorax",snomed,168813001,"Diagnostic pneumothorax",0.950,api
"Pneumothorax",snomed,109363001,"Right pneumothorax",0.950,api
"Pneumothorax",snomed,408736005,"Surgical pneumothorax",0.950,api
"Pulmonary embolism",snomed,59282003,"Pulmonary embolism",0.950,api
"Pulmonary embolism",snomed,233940007,"Pulmonary tumor embolism",0.950,api
"Pulmonary embolism",snomed,133971000119108,"Chronic pulmonary embolism",0.950,api
"Pulmonary embolism",snomed,200284000,"Obstetric pulmonary embolism",0.950,api
"Pulmonary embolism",snomed,706870000,"Acute pulmonary embolism",0.950,api
"Pulmonary embolism",loinc,PE requiring hospitalization,"PE requiring hospitalization",0.950,api
"Pulmonary embolism",loinc,PE dix category,"PE dix category",0.950,api
"Pulmonary embolism",loinc,Pulmonary Embolism Severity Index panel,"Pulmonary Embolism Severity Index panel",0.950,api
"Pulmonary embolism",loinc,Deep Venous Thrombosis (DVT), Pulmonary Embolus (PE), or Pulmonary Thrombo-Embolism (PTE),"Deep Venous Thrombosis (DVT), Pulmonary Embolus (PE), or Pulmonary Thrombo-Embolism (PTE)",0.950,api
"Pulmonary embolism",loinc,PhenX measure - pulmonary embolism,"PhenX measure - pulmonary embolism",0.950,api
"Deep vein thrombosis",snomed,432805000,"Suspected deep vein thrombosis",0.950,api
"Deep vein thrombosis",snomed,710167004,"Recurrent deep vein thrombosis",0.950,api
"Deep vein thrombosis",snomed,234044007,"Iliofemoral deep vein thrombosis",0.950,api
"Deep vein thrombosis",snomed,49956009,"Antepartum deep vein thrombosis",0.950,api
"Deep vein thrombosis",snomed,401186003,"Deep vein thrombosis screening",0.950,api
"Deep vein thrombosis",loinc,Date of deep vein thrombosis Dx,"Date of deep vein thrombosis Dx",0.950,api
"Deep vein thrombosis",loinc,Deep vein thrombosis,"Deep vein thrombosis",0.950,api
"Deep vein thrombosis",loinc,DVT Dx,"DVT Dx",0.950,api
"Deep vein thrombosis",loinc,DVT Dx category,"DVT Dx category",0.950,api
"Deep vein thrombosis",loinc,DVT Dx reporting source,"DVT Dx reporting source",0.950,api
"Peripheral arterial disease",snomed,840580004,"Peripheral arterial disease",0.950,api
"Peripheral arterial disease",snomed,399957001,"Peripheral arterial occlusive disease",0.950,api
"Peripheral arterial disease",snomed,431545001,"History of peripheral arterial occlusive disease",0.950,api
"Peripheral arterial disease",snomed,76580007,"Peripheral arterial bypass",0.950,api
"Peripheral arterial disease",snomed,153911000119104,"Peripheral arterial insufficiency",0.950,api
"Peripheral arterial disease",loinc,Peripheral Vascular Disease (PVD) or Peripheral Arterial Disease (PAD),"Peripheral Vascular Disease (PVD) or Peripheral Arterial Disease (PAD)",0.950,api
"Peripheral arterial disease",loinc,PhenX measure - peripheral arterial disease,"PhenX measure - peripheral arterial disease",0.950,api
"Peripheral arterial disease",loinc,Angiography for claudication or PAF,"Angiography for claudication or PAF",0.950,api
"Peripheral arterial disease",loinc,Angioplasty for claudication or PAD,"Angioplasty for claudication or PAD",0.950,api
"Peripheral arterial disease",loinc,Claudication or PAD,"Claudication or PAD",0.950,api
"Aortic aneurysm",snomed,67362008,"Aortic aneurysm",0.950,api
"Aortic aneurysm",snomed,73067008,"Ruptured aortic aneurysm",0.950,api
"Aortic aneurysm",snomed,171226003,"Aortic aneurysm screening",0.950,api
"Aortic aneurysm",snomed,233985008,"Abdominal aortic aneurysm",0.950,api
"Aortic aneurysm",snomed,707265005,"Aortic aneurysm monitoring",0.950,api
"Aortic aneurysm",loinc,Abdominal aortic aneurysm,"Abdominal aortic aneurysm",0.950,api
"Aortic aneurysm",loinc,Guided TA Aneurysm repair,"Guided TA Aneurysm repair",0.950,api
"Aortic aneurysm",loinc,PhenX - abd aortic aneurysm protocol 041001,"PhenX - abd aortic aneurysm protocol 041001",0.950,api
"Aortic aneurysm",loinc,Guided Abd Aorta Aneurysm repair,"Guided Abd Aorta Aneurysm repair",0.950,api
"Aortic aneurysm",loinc,RFA Guided Infrarenal AA or dissect rep,"RFA Guided Infrarenal AA or dissect rep",0.950,api
"Mitral valve prolapse",snomed,409712001,"Mitral valve prolapse",0.950,api
"Mitral valve prolapse",snomed,703359009,"Degenerative mitral valve prolapse",0.950,api
"Mitral valve prolapse",snomed,233858000,"Familial mitral valve prolapse",0.950,api
"Mitral valve prolapse",snomed,286031000119106,"Rheumatic mitral valve prolapse",0.950,api
"Mitral valve prolapse",snomed,8074002,"Mitral valve prolapse syndrome",0.950,api
"Aortic stenosis",snomed,253676001,"Postductal aortic stenosis",0.950,api
"Aortic stenosis",snomed,82355002,"Syphilitic aortic stenosis",0.950,api
"Aortic stenosis",snomed,253672004,"Preductal aortic stenosis",0.950,api
"Aortic stenosis",snomed,60573004,"Aortic valve stenosis",0.950,api
"Aortic stenosis",snomed,72011007,"Rheumatic aortic stenosis",0.950,api
"Aortic stenosis",loinc,AV Sten deg US,"AV Sten deg US",0.950,api
